Team,Rsh TD,Rec TD,Tot TD,2-PT,Date
EaglesEagles,6,1,8,0,09-25-22
BrownsBrowns,5,4,9,0,09-25-22
LionsLions,3,6,9,0,09-25-22
CardinalsCardinals,3,3,6,3,09-25-22
49ers49ers,3,1,4,0,09-25-22
FalconsFalcons,2,2,5,1,09-25-22
PanthersPanthers,2,2,4,0,09-25-22
BearsBears,2,2,4,0,09-25-22
PackersPackers,2,2,4,0,09-25-22
JaguarsJaguars,2,3,5,0,09-25-22
SteelersSteelers,2,2,5,1,09-25-22
RavensRavens,1,6,8,0,09-25-22
BillsBills,1,7,9,0,09-25-22
CowboysCowboys,1,1,2,0,09-25-22
TitansTitans,1,2,3,0,09-25-22
ColtsColts,1,1,2,0,09-25-22
ChiefsChiefs,1,7,9,0,09-25-22
RamsRams,1,4,5,0,09-25-22
PatriotsPatriots,1,2,3,0,09-25-22
SaintsSaints,1,3,4,1,09-25-22
GiantsGiants,1,3,4,1,09-25-22
CommandersCommanders,1,7,8,2,09-25-22
BengalsBengals,0,3,3,2,09-25-22
BroncosBroncos,0,2,2,0,09-25-22
TexansTexans,0,2,2,0,09-25-22
RaidersRaiders,0,4,4,0,09-25-22
DolphinsDolphins,0,7,7,0,09-25-22
VikingsVikings,0,3,3,0,09-25-22
JetsJets,0,5,5,0,09-25-22
ChargersChargers,0,6,6,0,09-25-22
SeahawksSeahawks,0,2,3,0,09-25-22
BuccaneersBuccaneers,0,2,3,0,09-25-22
